Lunar month,Sex,No. of cases,Order,Body length (cm),Body weight (g),Greater wing bone of sphenoid,Greater wing bone of sphenoid width(mm),Lesser wing bone of sphenoid length (mm),Lesser wing bone of sphenoid width (mm),Sphenoid bone length (mm),Sphenoid bone width (mm),Petrous part length (mm),Petrous part width (mm),Basal part of Occipatal bone length (mm),Basal part of Occipital bone width (mm),"Lateral part, of occipital bone length (mm)","Lateral part, of occipital bone width (mm)"
3,M,1,1,9,12,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.5,2.5,1.2
3,F,2,2,10,40,5,1.5,-,-,-,-,-,-,3,2,3,1.5
3.5,M,1,3,12,60,5,2.2,NA,NA,NA,NA,NA,NA,3.9,2.9,3.9,1.8
3.5,F,2,4,12,100,4.5,2.1,-,-,-,-,-,-,4.5,3.1,4.6,2.2
3.5,F,3,5,13,60,6,2.5,-,-,-,-,-,-,3.5,1.8,3.5,1.5
4,M,1,6,17,110.8,9,4.5,NA,NA,NA,NA,NA,NA,5,3,5,2.5
4,M,2,7,16,100,8,5,3,3,NA,NA,NA,NA,6,4,5.5,3
4,M,3,8,17,100,13,6.5,NA,NA,NA,NA,9,5,5,4,6.3,3
4,M,4,9,17,180,13.2,5,4,4,3,5,10.6,6,6,5,6.5,3
4,M,5,10,17,190,12.7,7,6,5,3,5,12,5,6.2,4,6.9,4
4,F,6,11,17,195,9.5,6.5,-,-,-,-,10,5,5,4,5.5,2.5
4,F,7,12,17,100,9,5.5,-,-,-,-,-,-,5.3,4,5.3,3
4,F,8,13,17,110,8.5,4.9,5,4,2.5,4,-,-,4.5,2.2,5.9,2.2
4,F,9,14,20,140,10.2,6.5,5,4,2,4,11,5.5,6.4,4.2,6.4,3
4.5,M,1,15,22,185,13.5,8,5,5,3,4.5,10.5,5.5,7,5,7,4.5
4.5,M,2,16,22,180,13,6,5,4,3,5.5,12,5,6.5,5,8,4.5
4.5,M,3,17,22,250,13.5,7.3,6,5,3,6,12.5,6,7.3,4.2,7.5,4.5
4.5,M,4,18,22,210,13.5,6,5.5,4.5,3.5,5.5,NA,NA,7.5,5.5,8.7,4.2
4.5,M,5,19,22,210,14.3,8,6,5,3,6,12,6,6.3,5.4,8,4
4.5,M,6,20,22,250,13,7.5,7,5,4,6,12,6,7.1,5.5,8,4
4.5,M,7,21,23,250,15,7,6,4,3,6,10,6,7,4,8,4
4.5,F,8,22,21,180,12,6.5,5.4,4.5,-,-,12.1,5.0999999999999996,6,5,7,4
4.5,F,9,23,21,200,11,6.3,-,-,-,-,-,-,8,5,6.6,3.5
4.5,F,10,24,22,210,11.5,6.5,6,5,4,6,12.5,5.2,6.7,5,7.5,4
4.5,F,11,25,22,320,11,6.5,-,-,-,-,-,-,6.4,5,7.3,4
4.5,F,12,26,22,200,14,8,6,5,5,6,12.5,6,6,5,7,4
4.5,F,13,27,22,200,13.5,8,6,5,4.5,5.5,12.5,6,7,5,8.2,4
4.5,F,14,28,23,220,12,6.9,-,-,-,-,NA,-,7.5,5.9,7,3
4.5,F,15,29,22,230,14,7,6,5,3,4,15.8,5.8,7,6.4,3.7,4.8
5,M,1,30,25,270,14.5,11,6,4.7,5,9.3000000000000007,11,7,7.3,5.9,9.2,5
5,M,2,31,25,350,14.6,12,6.5,5.5,6,10,12,8,8,6,9.2,5.5
5,M,3,32,25,360,15.6,13.5,5.5,5,5.5,9.1999999999999993,12.3,8,7.5,6,9.2,5.7
5,M,4,33,25,380,14.6,15.1,5.8,5,5.4,10,15.1,9,8,6.2,9.5,4.8
5,M,5,34,26,320,15.5,14,6.5,6,5.3,10,14,9.9,7.8,6,9.3,4.5
5,M,6,35,26,400,14.6,16,6.6,5.8,5.3,10,16,9.5,8,6,9.5,4.5
5,F,7,36,25,310,15,14,6,5,4.5,9,14,7,8,6,9,5.5
5,F,8,37,26,300,16.5,16.2,5.5,5.4,4,10.199999999999999,16.2,9,8,5.5,9,5.2
5,F,9,38,26,310,16,17,6,5.5,5.5,10.3,17,8,8.5,6.5,10.2,4.6
5,F,10,39,26,420,13.2,16,6.5,4.5,4.5,9,16,9.5,8,6,10,5.5
5,F,11,40,26,420,16.3,15.1,7,5,5.5,9.8000000000000007,15.1,10.1,9,6.5,10.2,5.6
5,F,12,41,26,380,16.4,14,7,5,5,9.1999999999999993,14,9,7.6,6.2,9.4,5.2
5,F,13,42,25,270,16,13.5,6.9,5,5,9,13.5,9.4,8,6.5,9.5,4.4
5.5,M,1,43,27,470,15.5,7.4,9.1999999999999993,6,7,9.8000000000000007,18.5,10,7.9,5.5,9,5.4
5.5,M,2,44,27,450,18,9.9,6.5,6,6.4,10,16.8,9.6,8.2,7.4,11.2,6.1
5.5,M,3,45,26.5,340,16,10,7.6,6,5,11,16.2,9.5,8.5,6.2,9.5,5.7
5.5,M,4,46,28,510,19,10,9.5,7,5.2,10.3,18,10.3,8.5,6.1,11,6.5
5.5,M,5,47,28,400,19.1,8.2,7.6,6,5.5,11,18,10,8.2,7.7,11.9,6
5.5,M,6,48,28,500,16,8.5,9,6,6.5,11,15,9.1999999999999993,8,5.5,10,5
5.5,F,8,50,27,320,17.5,9.3,7.8,5,5,11.5,16.2,9.5,7.4,6.7,10,5.1
5.5,F,9,51,28,380,16.8,9.5,7,6,6,10.5,18.5,10.5,9,7.8,11.5,6.4
5.5,F,10,52,28,460,17,10,7.9,6.5,7,10.5,18,9.5,8,7.5,11.5,6
5.5,F,11,53,28,420,16.2,8.8,8.1,6,5.5,10.5,18,9.5,8.8,6.6,10,5.7
6,M,1,54,30,570,17.2,10,8,6,6,10,17.2,10,8.2,6.5,10.5,6.5
6,M,2,55,30,560,17.4,9.6,8,6.5,5.5,11.9,17,9.5,8.5,7.5,11,6.5
6,M,3,56,31,600,20,10,8,6.5,7,12,18,10,8.5,8,12,7
6,M,4,57,31,520,17,9.5,8.6999999999999993,6.5,5.5,12,19,10,9.5,7.5,11.5,6.7
