 lunarmonthold fetuses,Sex,No. of cases,Order of cases,Body length(cm),Body weight (g),Humerus Length (mm),Humerus Width (mm),Radius length (mm),Ulna length (mm),Femur Length (mm),Femur Width (mm),Tibia length (mm),Fibula length (mm)
3.0,M,1.0,1,9.0,12,8.5,1.8,5.5,5.5,7.0,1.8,5.1,5.0
3.0,F,2.0,2,10.0,40,9.0,2.0,8.0,9.0,10.0,2.0,7.0,7.0
3.5,M,1.0,3,12.0,60,11.6,2.1,9.8,10.9,11.9,2.1,9.5,9.3
3.5,F,2.0,4,12.0,100,11.7,2.0,9.1,10.2,11.5,2.0,9.1,8.5
3.5,F,3.0,5,13.0,60,14.0,2.5,11.5,13.5,13.8,2.5,12.0,12.0
4.0,M,1.0,6,17.0,110,19.5,4.0,16.0,17.5,18.0,4.0,16.0,14.5
4.0,M,2.0,7,16.0,100,18.0,5.0,16.5,18.0,19.0,4.5,16.5,15.5
4.0,M,3.0,8,17.0,100,20.0,5.6,19.0,20.7,22.5,4.5,18.9,17.8
4.0,M,4.0,9,17.0,180,20.0,6.0,20.5,22.0,24.0,6.0,21.0,20.5
4.0,M,5.0,10,17.0,190,20.3,6.0,18.2,20.7,22.5,6.2,19.5,19.2
4.0,F,6.0,11,17.0,95,20.0,4.0,16.0,17.5,20.0,4.0,16.0,15.0
4.0,F,7.0,12,17.0,100,19.5,4.2,16.3,18.5,20.0,4.0,16.5,16.1
4.0,F,8.0,13,17.0,110,18.3,3.2,15.3,16.2,18.8,3.4,15.0,14.0
4.0,F,9.0,14,20.0,140,20.5,5.0,18.4,21.0,21.8,6.0,29.2,19.0
4.5,M,1.0,15,22.0,185,26.0,6.0,21.0,23.0,25.5,6.0,23.0,21.5
4.5,M,2.0,16,22.0,180,26.0,6.0,21.0,23.0,27.0,6.0,23.0,22.0
4.5,M,3.0,17,22.0,250,25.6,6.0,22.7,24.0,25.9,6.0,22.5,22.0
4.5,M,4.0,18,22.0,210,27.0,6.5,22.0,25.0,26.5,6.0,28.0,27.0
4.5,M,5.0,19,22.0,210,28.5,7.0,23.0,26.0,28.2,7.0,24.3,23.6
4.5,M,6.0,20,22.0,250,27.0,6.5,21.0,24.0,27.3,6.8,24.0,23.0
4.5,M,7.0,21,23.0,250,23.0,6.0,23.0,26.0,29.0,7.0,25.0,24.0
4.5,F,8.0,22,21.0,180,24.0,5.5,20.0,21.0,27.0,6.0,21.0,19.5
4.5,F,9.0,23,21.0,200,24.6,5.8,20.0,21.7,24.0,5.9,21.5,21.3
4.5,F,10.0,24,22.0,210,25.6,6.0,20.2,23.0,24.2,5.7,21.4,21.4
4.5,F,11.0,25,22.0,220,25.0,6.6,20.0,22.5,24.6,5.6,21.2,20.8
