Lunar month,sex,No of cases,Order of cases,Body length(cm),Body weight (g),CIavicle length (mm),Scapula length (mm),Scapula width (mm),Length of spina scapula (mm),Iliac length (mm),Iliac width (mm),Sciatic length (mm),Sciatic width (mm),Pubic bone length(mm)
3,M,1,1,9,12,7.3,3,2,2,4.5,3.5,NA,NA,NA
3,F,2,2,10,40,9,6,4,5,5.1,3,NA,NA,NA
3.5,M,1,3,12,60,11.5,6.7,4.5,5.9,5.9,3.9,NA,NA,NA
3.5,M,2,4,12,100,10.3,6.5,5,5.5,5.2,3.1,NA,NA,NA
3.5,F,3,5,13,60,11.5,8,6,6,6,4.5,NA,NA,NA
4,M,1,6,17,110,14.5,10,8.5,9,8,7,NA,2.2,NA
4,M,2,7,16,100,15,12,8.5,11,10,9,1.9,2.1,NA
4,M,3,8,17,100,17.6,14,10,11,9.6,8,3,2.5,NA
4,M,4,9,17,180,17.7,14,10,11.5,11,8.5,4,2.2,NA
4,M,5,10,17,190,17,13,11.3,12,11.9,9,3.5,2.1,NA
4,F,6,11,17,95,17,11,8.5,9,8.5,6.5,2.5,2.1,NA
4,F,7,12,17,100,16.1,10.5,8.7,9,9,7.1,3,2.2,NA
4,F,8,13,11,110,14.3,9.2,6.9,7.9,7.9,6,NA,2.2,NA
4,F,9,14,20,140,17,12,9.5,10.5,12.3,9.8,4,2.3,NA
4.5,M,1,15,22,185,20,13,11,12,10.5,8.5,3,3,NA
4.5,M,2,16,22,180,20,14,11.5,13,13,10,3.5,2.8,NA
4.5,M,3,17,22,250,18.4,14.5,11.1,12,16.6,11,3.2,3,NA
4.5,M,4,18,22,210,20,16,11.5,12,11.5,10.5,4.2,3,NA
4.5,M,5,19,22,210,20,17,12,14,12.3,11.5,4.2,2.9,NA
4.5,M,6,20,22,250,19.5,15.5,13,13.5,12,9,4,2.8,NA
4.5,M,7,21,23,250,20,15,12,14,14,11,4,3.1,NA
4.5,F,8,22,21,180,18,12,11,11.5,9.5,8,3.5,2.9,NA
4.5,F,9,23,21,200,19,12.5,11,11.6,11.1,8.6,4,2.8,NA
4.5,F,10,24,22,210,17.6,12.7,11,11.2,11.2,8.7,4,2.3,NA
4.5,F,11,25,22,220,17,13,11.5,12,12.2,9.8,4,3,NA
4.5,F,12,26,22,200,20,14,11,12,11,9,4.1,3,NA
4.5,F,13,27,22,200,20.5,13.5,12,12,12.5,9.5,4.1,3,NA
4.5,F,14,28,23,220,21,14,11,12,11,9,4.1,3,NA
4.5,F,15,29,22,230,21,14,12,13,12,10,4,3,NA
5,M,1,30,25,270,22,15,12,13,13.5,11,4.5,3.1,NA
5,M,2,31,25,350,23,17,15,16,14.5,12,5,3.6,NA
5,M,3,32,25,360,22.5,17.3,14.5,15.2,15.5,12.4,5.7,4,3
5,M,4,33,25,380,23,17.3,15,15.2,15.6,12.3,6,3.6,NA
5,M,5,34,26,350,22.2,19,13,16,16,13,5,3.5,NA
5,M,6,35,26,400,21.5,15,11,12,18.1,14,6,3.4,4
5,F,7,36,25,310,21,16,14,15,15,13,5.5,3.2,NA
5,F,8,37,26,300,22.5,18,13.5,16,14,13,5.5,3.5,NA
5,F,9,38,26,310,25.5,19,14,17,16.5,15,7,3.6,3.8
5,F,10,39,26,420,22.7,19,15,16.5,16.5,11.2,5.5,3.5,NA
5,F,11,40,26,420,25.2,18.4,16.5,16.5,18,14,6.1,3.5,4
5,F,12,41,26,380,23,16.4,14.2,14.7,15.6,13.2,5.3,3.3,4
5,F,13,42,25,270,22,17,14,15.2,14,11,5.5,3.7,3
5.5,M,1,43,27,470,23.8,18.5,13.8,15.4,15,12.9,6.4,4,NA
5.5,M,2,44,27,450,25.2,19.2,15.9,17.8,17.2,15.2,6.3,4,5
5.5,M,3,45,26,340,25,18.5,14,16,14.2,13.5,6.2,4.5,NA
5.5,M,4,46,28,510,26,19,16,18,18.2,15.1,6,4.2,3
5.5,M,5,47,28,400,24.2,18.1,16.3,17.1,17.3,14.5,6.2,4.6,3.5
