Lunar month,Sex,No. of cases,Order of cases,Body length (mm),Body width (mm),Atlas length (mm),Axis length (mm),I. Metacarpus  length (mm),I. Metatarsus  width (mm),Malleus length (mm),Incus length mm),Incus width (mm),Stapes length (mm),Stapes width (mm)
4,M,1,6,17,110,3.8,4.7,1.7,2.3,NA,NA,NA,NA,NA
4,M,2,7,16,100,4,4.8,1.7,2.3,NA,NA,NA,NA,NA
4,M,3,8,17,100,3.8,4.8,1.8,2.4,NA,NA,NA,NA,NA
4,M,4,9,17,180,4.8,5.3,1.9,2.9,NA,NA,NA,NA,NA
4,M,5,10,17,190,5,5.1,1.9,2.3,NA,NA,NA,NA,NA
4,F,6,11,17,95,4.2,5.2,1.7,2.3,NA,NA,NA,NA,NA
4,F,7,12,17,100,4.3,5.1,1.7,2.2,NA,NA,NA,NA,NA
4,F,8,13,17,110,4.2,5.3,1.8,2.2,NA,NA,NA,NA,NA
4,F,9,14,20,140,4,4.5,1.8,2.4,NA,NA,NA,NA,NA
4.5,M,1,15,22,185,4,5.4,2.3,3.1,NA,NA,NA,NA,NA
4.5,M,2,16,22,180,5.1,5.5,2.3,3.2,NA,NA,NA,NA,NA
4.5,M,3,17,22,250,5.1,5.5,2.2,3,NA,NA,NA,NA,NA
4.5,M,4,18,22,210,5.3,6.1,2.4,3.1,NA,NA,NA,NA,NA
4.5,M,5,19,22,210,5.9,6.1,2.4,3.5,NA,NA,NA,NA,NA
4.5,M,6,20,22,250,5.2,6,2.5,3.2,NA,NA,NA,NA,NA
4.5,M,7,21,23,250,5.4,6.2,2.4,3.2,NA,NA,NA,NA,NA
4.5,F,8,22,21,180,5,5.6,2.3,3.1,NA,NA,NA,NA,NA
4.5,F,9,23,21,200,5,5.1,2,3,NA,NA,NA,NA,NA
4.5,F,10,24,22,210,4,5.1,2.1,3,NA,NA,NA,NA,NA
4.5,F,11,25,22,220,5.2,6.2,2.1,3,NA,NA,NA,NA,NA
4.5,F,12,26,22,200,5.3,5.9,2.2,3.2,NA,NA,NA,NA,NA
4.5,F,13,27,22,200,5.5,6,2.3,3.2,NA,NA,NA,NA,NA
4.5,F,14,28,23,220,5.5,6,2.7,3.2,NA,NA,NA,NA,NA
4.5,F,15,29,22,230,5.8,7,2.9,3.5,NA,NA,NA,NA,NA
5,M,1,30,25,270,5.5,6.8,2.8,3.2,4.1,5.5,3,NA,NA
5,M,2,31,25,350,5.8,7.2,3,4,4.2,5.3,2.9,NA,NA
5,M,3,32,25,360,6.2,8,3.5,4.2,4.5,5.5,3,NA,NA
5,M,4,33,25,380,6.1,7.3,2.9,3.9,4.6,6,3.5,NA,NA
5,M,5,34,26,350,6,7.1,3,3.8,4.2,5.3,3.1,NA,NA
5,M,6,35,26,400,5.9,7.2,3,3.8,4.3,5.5,3.1,NA,NA
5,F,7,36,25,310,6.3,7.1,3,4,4,5.4,3.1,NA,NA
5,F,8,37,26,300,6.5,7.3,3.1,3.9,4,5.5,3.2,NA,NA
5,F,9,38,26,310,6.6,7.5,3.1,4.1,4.6,6,3.4,NA,NA
5,F,10,39,26,420,6.8,7.8,3,4.3,4,5.7,3,NA,NA
5,F,11,40,28,420,6.4,7.8,3.2,4.1,4.6,5.9,3,NA,NA
5,F,12,41,26,380,6.9,7.4,3.2,4.2,4.5,5.5,3.1,NA,NA
5,F,13,42,25,270,5.5,7.1,3,4.2,4.5,6,3.5,NA,NA
5.5,M,1,43,27,470,6.5,7,3,4.5,5.1,6,3.5,NA,NA
5.5,M,2,44,27,450,6.8,7.2,3.3,4.5,5,6.1,3.5,NA,NA
5.5,M,3,45,26.5,340,6.5,7.6,3.5,4.2,5,6.2,3.6,NA,NA
5.5,M,4,46,28,510,7.9,8,4,5,5.1,6.1,4,NA,NA
5.5,M,5,47,28,400,7,7.7,3.5,5.1,5,6.2,4,NA,NA
5.5,M,6,48,28,500,6.5,7.2,3,4.2,5,5.2,3,NA,NA
5.5,M,7,49,27,420,6.8,8,3.5,5,5,5.5,3.5,NA,NA
5.5,F,8,50,27,320,6.8,7,4.2,5,4.6,6.5,4,NA,NA
5.5,F,9,51,28,380,7.5,8,4.5,6.8,4.9,6.7,4,NA,NA
5.5,F,10,52,28,460,7.5,8.5,3.8,5.5,5,6.8,4,NA,NA
5.5,F,11,53,28,420,6.5,8,3.5,5,4.8,6.1,3.5,NA,NA
6,M,1,54,30,570,6.9,8.5,3.5,4.9,5,6.5,4,2.2,2
6,M,2,55,30,560,7,8.5,4,5,5.2,6.4,4,2.4,2.1
6,M,3,56,31,600,7.8,8.3,4,5.5,5.4,6.5,4,2.5,2.2
6,M,4,57,31,520,7.5,8.9,4,6,5.5,6.8,4.1,2.4,2.2
6,M,5,58,31,730,9.1,10.2,4.5,6,5.5,7,4.9,2.7,2.2
6,M,6,59,31,600,8,9.5,4.2,6.2,5,6.5,4.5,2.9,2.1
6,F,7,60,30,610,8,10,4.8,6.5,5.5,7,5,2.9,2.5
6,F,8,61,30,560,8.1,10,4.5,5.8,5.4,6.8,4.2,2.3,2
6,F,9,62,30,600,8.2,9.8,4.4,5.9,5.4,6.7,4,2.1,1.9
6,F,10,63,31,770,8.1,8.5,4.5,5.8,5.5,6.5,4.2,2.1,1.9
6,F,11,64,31,590,8.4,10,5,6,5.6,6.5,4.5,2.1,2.2
6,F,12,65,31,610,7.8,8.8,3.9,6,5.6,6.5,4.3,2.5,2.3
6.5,M,1,66,33,640,7.8,9.5,4.5,6.2,5.4,6.5,5,2.9,2.5
6.5,M,2,67,32,700,8.6,10,4,5.8,6,7,4.7,3.1,2.2
6.5,M,3,68,32,600,8.4,9.5,4.5,6.5,5.5,6.5,4.6,2.5,2.3
6.5,M,4,69,33,670,7.2,9.8,5,6.5,6.2,7,4.5,2.8,2.2
6.5,F,5,70,32,680,7,9,4.2,6.2,5.4,6.5,4.3,2.4,2
6.5,F,6,71,32,670,8,9.2,4.8,6,5.7,7,4.5,2.4,2.1
6.5,F,7,72,33,625,8.2,9.3,4.5,6,5.8,7,4.5,2.3,2
6.5,F,8,73,32,660,8.5,9.5,4.5,6.3,5.2,6.5,4.2,2.2,2
6.5,F,9,74,33,710,9.8,10.8,5.1,7,6,7,4.8,3,2.7
6.5,F,10,75,33,630,8,10,4,5.9,5.5,6.5,4.8,2.8,2.2
6.5,F,11,76,33,730,8.3,10,4.8,6.5,5.6,6.7,4.7,2.6,2.2
6.5,F,12,77,33,700,8.2,9.8,4.7,6.2,5.4,6.5,4.5,2.7,2.3
7,M,1,78,35,865,8.8,10.5,4.9,6.9,6.5,6.4,4.5,2.5,2.3
7,M,2,79,35,780,9.6,9.5,4.5,6.1,6.2,6.3,4.2,2.4,2.1
7,M,3,80,35,780,9,11,5,6.5,6.1,6.5,4.1,3.1,2.2
7,M,4,81,35,770,8.1,10.5,4.9,7,6.4,6.4,4.3,3.1,2.3
7,M,5,82,35,900,8.7,10.2,4.8,7,6,7,4.8,3.3,2.2
7,M,6,83,35,900,9.1,10.5,5.2,7.5,6.5,6.6,4.6,3.2,2.2
7,M,7,84,35,910,8.9,11.5,5.9,8,7,6.9,4.9,3.2,2.2
7,F,8,85,35,770,9,9.5,5.1,7.8,6.3,7.1,5,3.5,2.3
7,F,9,86,36,800,9,10,5,7.5,6,6.2,4.2,3.2,2.1
7,F,10,87,36,1000,9,11.2,5.5,7.8,6,6.8,4.8,3,2.5
7,F,11,88,36,960,9.5,10,5,7,5.7,6.5,5,3.1,2.2
7,F,12,89,36,950,9,10,5,7.6,6.2,6.8,4.4,2.5,2
7.5,M,1,90,38,1150,9.8,12.3,5.5,8,7.2,7,5,3.2,2.9
7.5,M,2,91,37,820,10,12.2,6,8.3,6.8,6.7,4.8,2.8,2.3
7.5,M,3,92,37,930,10.1,12.1,5.8,8.5,6.6,6.7,4.7,2.9,2.3
7.5,M,4,93,37,1110,10.1,11.4,5.5,7,6.8,7.1,5,3,2.5
7.5,M,5,94,38,1010,10.5,12.5,5.9,8.6,6.8,6.8,4.7,2.8,2.2
7.5,M,6,95,38,1040,10.5,13,6.5,8.7,7.3,6.5,5.1,3,2.6
