Lunar month,Sex,No. of cases,Order of cases,Body length (cm),Body weight (g),Frontal squama height cord (mm),Frontal squama height perimeter (mm),Frontal squama width cord (mm),Frontal squama width perimeter (mm),Temporal squama height (mm),Temporal squama width (mm),Temporal squama length (mm),"Annulus tympanicus, diameter (mm)",parietal bone height cord (mm),parietal bone height perimeter (mm),parietal bone width cord (mm),parietal bone width perimeter (mm),Occipatal squama height cord (mm),Occipatal squama height perimeter (mm),Occipatal squama width cord (mm),Occipatal squama width perimeter (mm)
3,M,1,1,9,12,6,6,9,9,NA,NA,NA,NA,NA,NA,NA,NA,7,7,11,11
3,F,2,2,10,40,8,8,14,14,2.8,2.8,7,NA,10,10,14,14,8,8,13,13
3.5,M,1,3,12,60,8.8,8.8,13,13,3.1,3.1,12.6,NA,12.1,12.1,15.2,15.2,9.5,9.5,13.2,13.2
3.5,F,2,4,12,100,9.5,9.5,14.5,14.5,2.8,2.8,7.5,NA,10,10,13,13,13.5,13.5,15,15
5.5,M,7,4,27,420,31.8,33,27,28,11.9,15.5,17.5,10,36.3,NA,39.2,45,26.6,27,30.2,33
3.5,F,3,5,13,60,12,12,14,14,5,5,8,4,15,15,20,20,9,9,15,15
4,M,1,6,17,110,22.5,23,16,19,5,9,10,5,18.5,24,25.5,26,13.5,14,14,15
4,M,2,7,16,100,19,20,15,18,7,10,11,6,16,22,20,22,14,15,14.5,15
4,M,3,8,17,100,26.4,20,20,17,8,11,11.7,7.3,22,27,28,29,16,16.5,20,21
4,M,4,9,17,180,20,21.3,15,17,9,11,14,4.5,22,27,22,25,17,17.5,18,19
4,M,5,10,17,190,22.7,23,21,22,8.5,10,13.7,6.2,30,32,31.7,32,19.5,20,23.4,24
4,F,6,11,17,95,22.5,23,17,18,6.5,10,11,5,23,27,25,26,14,15,15,16
4,F,7,12,17,100,21,22,18.5,19,6,10,10.9,6,21,25,24,25,14,15,22,23
4,F,8,13,17,110,18,19,18,19,5,10,10.2,5.5,21,25,22.5,25,13,14,18.6,20
4,F,9,14,20,140,22,22.5,20,20.5,6.1,10,11.5,6.1,25,26,29.5,30,15,15,21.6,23
4.5,M,1,15,22,185,23,25,21,23,8,13,15,7,26,30,29,31,18,19,18,19
4.5,M,2,16,22,180,24,26,20,22,10,13,16,7,28,31,30,32,17,19,18,19
4.5,M,3,17,22,250,25.7,27,22,24,8.2,12.5,15,8.4,32.5,37,34.6,35,22.8,18,23,24
4.5,M,4,18,22,210,23,25,19,25,7.5,11.5,14.5,6.5,30,30,31,31,18,23.5,26.4,27
4.5,M,5,19,22,210,28,30,23,24,9.5,12,15.3,7.6,31,37,31,35,23,20,20,23
4.5,M,6,20,22,250,26,29,21,22,9.5,12,15,7.2,29.5,32,30,32,20,24,29,29
4.5,M,7,21,23,250,24,27,22,23,10,14,19,7.3,30,36,33,35,17,21,25,26
4.5,F,8,22,21,180,22,24,19,22,9,12,13,7.2,25,28,30,33,17,20.5,23.5,24.6
4.5,F,9,23,21,200,22,24,20,22,8.1,11.5,14.4,7.2,26,29,29,32,17,18,17.5,19
4.5,F,10,24,22,210,25,26,22,23,8.9,12.8,13.9,NA,28,30,30.5,32,20.4,18,20,21
4.5,F,11,25,22,220,24.5,26,21.8,23,9,13,15.2,8.2,28,31,31,33,19,21,24.1,26
4.5,F,12,26,22,200,23,25.5,22,24,9,12,13,7,27,30,30,32,16,20,26.1,27
4.5,F,13,27,22,200,24,26,21.5,23,8,13,15.5,8,28,30,30,33,18,17,18,19
4.5,F,14,28,23,220,25,27,22,24,8,12.5,14.3,NA,28,31,30,30,20,19,22,23
4.5,F,15,29,22,230,27,29,22.6,23,13,12,16,8.3,28.3,30,31.2,32,18.6,20.5,25,26
5,M,1,30,25,270,28,29,24,25,9.8,13.5,17,8.8,33,37,35.3,37,22,22.5,26.5,27
5,M,2,31,25,350,28.4,30,24,26,10.5,14,17.5,7.8,32.7,37,36,38,22,23,25,27
5,M,3,32,25,360,28.5,30,24.1,26,10.1,14.5,18,7.9,35.1,40,39,37,25,25.5,27.3,30
5,M,4,33,25,380,27,29,24.3,26,9.8,14,17.8,7.9,33,36,38,37,26.5,27,32.6,33
5,M,5,34,26,350,28.5,30,23.8,25,10.3,13.8,17.5,8.5,34,37,36,37,24.4,25,26.5,28
5,M,6,35,26,400,30,32,25,26,10.4,14,17,7.5,34,40,36,37.5,25,26,28,30
5,F,7,36,25,310,25,27,24,26,10,13.7,17,8,30,36,32,36,22,23,24,27
5,F,8,37,26,300,27,29,24,26,12,14,18,7.5,35,37,38,38,22,23,24,27
5,F,9,38,26,310,33,34,25,26.5,12,14.5,17.5,8,38,40,40,40,24,25,31,33
5,F,10,39,26,420,28,30,24,26,10.1,14.2,16.5,8.2,29,37,33.5,34,21,22.5,22,25
5,F,11,40,26,420,31.8,32,25,28,11.3,14.5,18,8.1,38,39,40,37,27,28,32,33
5,F,12,41,26,380,29.4,31,25,28,12.5,14,17.2,7.9,34.2,40,38.5,35,24.9,26,28,31
5,F,13,42,25,270,29,31,25,27,10,14,17,7.9,33,38,37,37,22,24,30,31
5.5,M,1,43,27,470,28.4,30,25.7,28,12,15.5,18,8.1,34.9,44,38.5,42,26.7,29,31.5,34
5.5,M,2,44,27,450,31.7,32,28.8,30,11.6,15,20.5,8.9,36.1,45,40.4,44,30.2,33,32.5,35
5.5,M,3,45,26.5,340,31,32,24,27,10,15,18,7.7,34.5,42,38.5,41,25,27,28,33
5.5,M,4,46,28,510,32,35,26,28,12.2,15,20,8.1,36,47,41,46,28.5,32,31,36
5.5,M,5,47,28,400,29.7,31,26.9,28,12.8,15.5,19.1,8.4,37.4,44.6,39,42,28.4,30,32.5,36
5.5,M,6,48,28,500,29,30,25,26,11.5,15.5,19,8.2,35,42,39,41,26,27,31,33
5.5,F,8,50,27,320,32,33,26.8,28,12.5,15,19.3,8.9,36.2,43,39,43,25.7,27,30.1,33
5.5,F,9,51,28,380,29.7,31,25.5,27,12,16,17,8.5,39,44,41.7,44,28,30,32,34
5.5,F,10,52,28,460,31,32,27,28,12,16,19,8.5,38,46,39,42,27,28,32,35
5.5,F,11,53,28,420,29.2,31,24.8,26,11.2,14.5,19.1,7.9,37.2,44,40.5,43,28,29,31.6,34
6,M,1,54,30,570,32,35,27.5,32,12,16,18,8.9,35,46,39,48,25,29,31,37
6,M,2,55,30,560,33.5,37,29,33,12,16.5,19.5,8.9,36,47,40,49,24,28,31,37
6,M,3,56,31,600,33,36,32,35,13,18,22,9,37,48,44,51,28,32,31,38
6,M,4,57,31,520,31,30,27.5,31,13.5,16,19.5,9,36,47,40,48,31,34,35.5,42
6,M,5,58,31,730,34.5,40,30.1,34,13.9,18,22,9,42.2,54,45,50,32.2,36,36,42
6,M,6,59,31,600,34,38,28,32,13,17,21.5,9.8,39,47,43,45,30,33,36,40
