Lunar month,Sex,No. of cases,Order of cases,Body length(mm),Body weight (g),Nasal bone length (mm),Nasal bone width (mm),Palatine bone length (mm),Vomer length (mm),Infnas. concha length (mm),Zygomatic bone length (mm),Zygomatic bone width (mm),Maxilla length (mm),Maxilla width (mm),Maxilla height(mm),Maxilla Longest oblique dimension (mm),Mnadible full length (mm), Mandible width (mm),Mandible length (mm)
3.0,M,1,1,9.0,12,,,2.0,,,4.0,4.0,3.0,,3.0,5.0,10.0,,7.5
3.0,F,2,2,10.0,40,,,2.5,4.0,,4.0,5.0,5.5,,3.2,7.0,11.5,,8.5
3.5,M,1,3,12.0,60,,,2.0,5.2,,5.1,6.0,6.0,6.0,5.5,9.0,12.2,3.0,9.5
3.5,F,2,4,12.0,100,,,2.9,5.1,,4.8,5.5,6.0,6.0,5.6,9.0,12.2,3.1,9.3
3.5,F,3,5,13.0,60,,,4.0,6.5,,5.0,6.0,7.0,7.0,5.8,10.0,13.5,3.5,10.0
4.0,M,1,6,17.0,110,,,6.0,9.5,3.0,8.0,5.5,9.0,10.0,9.0,16.0,16.0,5.8,12.8
4.0,M,2,7,16.0,100,,,6.0,9.0,3.0,9.0,7.0,10.0,9.5,9.0,13.0,18.0,6.0,13.0
4.0,M,3,8,17.0,100,,,6.5,11.0,,10.0,6.5,8.5,10.0,9.3,15.0,20.6,6.1,14.5
4.0,M,4,9,17.0,180,4.6,2.6,6.5,11.0,5.0,11.0,8.0,10.0,10.2,9.5,16.0,19.5,7.2,14.2
4.0,M,5,10,17.0,190,4.5,2.5,6.4,10.0,5.1,11.0,8.0,8.2,10.0,9.5,13.0,19.1,7.0,13.5
4.0,F,6,11,17.0,95,4.4,2.3,5.0,11.0,4.0,8.0,6.0,8.0,9.8,8.5,13.0,17.0,6.5,12.5
4.0,F,7,12,17.0,100,4.5,2.5,5.3,9.5,4.1,9.2,8.1,9.0,9.4,8.0,13.8,16.5,6.8,12.3
4.0,F,8,13,17.0,110,4.0,2.2,5.0,8.2,,7.0,6.2,8.1,9.5,8.5,12.0,15.6,6.2,12.5
4.0,F,9,14,20.0,140,4.5,2.3,6.1,9.8,4.0,9.0,8.3,9.8,10.2,9.0,14.6,19.2,6.5,12.5
4.5,M,11,15,22.0,185,5.0,2.9,8.0,11.0,4.5,10.0,8.0,9.8,11.5,10.0,10.0,22.0,6.4,13.8
4.5,M,2,16,22.0,180,4.8,2.8,6.3,11.0,4.5,12.0,10.0,12.0,11.4,11.0,16.0,22.0,6.5,13.9
4.5,M,3,17,22.0,250,5.1,3.0,6.5,11.2,5.0,13.5,10.5,10.4,11.6,10.0,16.0,21.0,6.1,13.5
4.5,M,4,18,22.0,210,5.1,3.0,6.5,12.0,5.0,10.5,8.0,10.0,12.5,10.1,16.5,21.0,7.1,14.5
4.5,M,5,19,22.0,210,5.0,3.0,6.0,13.9,5.0,12.8,8.4,11.0,12.1,10.5,14.1,21.6,7.1,14.5
4.5,M,6,20,22.0,250,5.0,3.1,6.8,13.9,,12.0,10.0,11.2,11.8,10.0,17.4,21.6,7.1,14.0
4.5,M,7,21,23.0,250,5.4,3.3,7.0,14.0,4.5,13.0,11.0,12.0,11.7,11.0,17.0,22.0,7.0,14.2
4.5,F,0,22,21.0,180,5.0,2.8,6.0,11.5,4.6,10.0,8.7,9.8,11.5,9.5,13.0,21.0,6.8,13.8
4.5,F,9,23,21.0,200,4.8,2.7,6.0,10.0,,11.4,9.6,10.3,11.0,9.0,15.0,20.1,6.9,13.3
4.5,F,10,24,22.0,210,4.8,2.8,6.1,11.5,4.6,10.4,9.5,9.2,11.5,9.8,15.0,20.0,6.8,14.0
4.5,F,11,25,22.0,220,5.0,3.0,6.2,12.8,,11.3,9.5,11.0,11.3,10.0,16.0,22.0,7.0,15.0
4.5,F,12,26,22.0,200,5.3,3.0,8.0,11.0,4.5,10.0,9.6,9.8,11.8,9.0,13.0,22.0,6.8,13.8
4.5,F,13,27,22.0,200,5.3,3.0,7.0,12.0,,12.5,11.0,10.0,11.9,9.5,17.0,21.0,6.9,14.0
4.5,F,14,28,23.0,220,5.4,3.1,6.8,11.0,5.1,10.0,9.7,10.0,11.5,9.5,16.5,21.0,7.5,14.0
4.5,F,15,29,22.0,230,5.5,3.2,7.0,13.0,4.8,13.0,10.0,12.0,12.0,11.0,18.0,23.0,7.3,17.0
5.0,M,1,30,25.0,270,6.2,3.0,7.2,14.0,,13.0,9.0,12.5,12.4,11.2,18.0,24.0,8.0,16.8
5.0,M,2,31,25.0,350,6.1,3.0,8.0,14.0,5.7,14.0,10.0,12.4,12.8,12.0,20.0,25.0,8.0,17.0
5.0,M,3,32,25.0,360,6.2,3.8,7.9,14.5,5.7,12.9,10.5,12.5,13.0,12.5,18.7,25.7,8.5,18.0
5.0,M,4,33,25.0,380,6.0,3.0,7.2,14.4,5.5,14.0,10.0,12.2,13.0,12.0,18.2,25.9,8.1,17.5
5.0,M,5,34,26.0,350,5.8,2.8,7.8,13.9,5.7,12.5,10.0,12.7,12.8,12.0,18.2,26.0,8.0,17.0
5.0,M,6,35,26.0,400,5.9,2.7,8.0,13.9,5.6,14.0,11.2,13.0,12.7,12.5,19.5,25.0,7.9,17.2
5.0,F,7,36,25.0,310,5.5,2.6,8.0,13.0,5.0,14.0,11.2,13.0,12.7,12.6,18.0,25.0,7.8,18.0
5.0,F,8,37,26.0,300,5.7,2.7,7.0,14.0,5.6,13.0,10.7,13.0,12.9,12.5,17.5,25.5,1.1,18.1
5.0,F,9,38,26.0,310,6.1,3.0,8.0,13.7,5.8,12.7,11.5,13.2,12.8,12.6,19.5,28.0,8.0,18.0
5.0,F,10,39,26.0,420,6.0,3.0,6.8,13.0,,12.0,9.0,12.3,13.5,12.0,17.0,25.0,8.0,18.0
5.0,F,11,40,26.0,420,5.5,2.8,8.0,15.5,5.6,16.0,10.0,12.4,13.2,12.8,20.0,26.0,8.1,18.2
5.0,F,12,41,26.0,380,5.8,3.0,8.1,15.3,5.0,13.1,10.0,13.5,13.5,12.8,19.5,25.0,7.5,17.2
5.0,F,13,42,25.0,270,5.9,3.0,8.0,14.0,,13.5,10.5,12.0,13.5,12.0,19.0,26.0,7.2,18.0
5.5,M,1,43,27.0,470,6.0,4.0,8.5,15.3,5.6,14.6,10.7,13.3,14.2,13.2,19.5,26.6,8.5,18.0
5.5,M,2,44,27.0,450,5.5,3.9,8.6,16.4,6.4,14.5,11.1,14.1,14.0,14.0,21.6,28.1,8.8,19.0
5.5,M,3,45,26.5,340,6.5,4.5,8.5,16.3,5.5,13.5,11.0,12.5,13.8,13.0,19.5,27.5,9.0,19.0
5.5,M,4,46,28.0,510,6.2,4.1,9.0,16.8,6.0,14.0,10.1,14.5,14.5,13.5,21.2,28.0,9.0,22.0
5.5,M,5,47,28.0,400,6.2,4.1,9.0,14.1,6.0,14.5,11.5,13.3,14.1,14.0,20.0,27.0,9.0,18.0
5.5,M,6,48,28.0,500,5.5,3.7,8.0,16.0,,14.0,10.0,13.0,13.8,13.0,20.0,26.0,9.0,18.5
5.5,M,7,49,27.0,420,5.0,3.0,8.9,17.0,6.3,14.5,11.7,13.2,14.5,13.6,20.0,27.0,9.0,19.0
5.5,F,8,50,27.0,320,5.8,4.0,8.8,16.3,6.0,14.6,11.7,12.8,14.0,13.0,20.0,26.8,8.0,18.2
5.5,F,9,51,28.0,380,7.0,3.9,8.5,16.0,6.5,14.1,11.3,14.5,15.0,14.5,19.7,28.5,9.0,20.5
5.5,F,10,52,28.0,460,6.5,4.0,7.5,16.5,6.5,14.0,12.0,14.0,14.8,13.1,20.0,28.0,10.0,20.0
5.5,F,11,53,28.0,420,6.0,3.5,7.7,14.5,6.2,13.8,11.0,13.2,13.1,12.5,19.0,26.4,9.0,19.0
6.0,M,1,54,30.0,570,6.7,3.8,9.0,18.0,,14.0,12.5,14.0,15.0,13.8,20.0,28.0,9.0,22.0
6.0,M,2,55,30.0,560,6.8,4.0,8.9,17.0,4.5,15.0,12.0,14.5,15.0,14.0,20.0,29.0,9.8,21.0
6.0,M,3,56,31.0,600,6.5,4.0,8.9,18.0,6.9,16.0,12.8,16.0,15.0,14.0,23.0,31.0,9.5,21.0
6.0,M,4,57,31.0,520,6.5,4.2,9.2,18.0,6.8,14.5,10.9,15.5,15.0,14.0,22.0,29.0,9.0,20.0
6.0,M,5,58,31.0,730,7.0,4.8,8.6,18.0,6.8,15.4,12.0,16.0,16.7,14.0,23.4,31.7,10.0,22.0
6.0,M,6,59,31.0,600,7.0,4.0,8.5,18.0,6.3,15.5,13.0,15.0,15.5,14.0,22.0,31.5,11.0,23.0
