lunar_month,sex,body_length_cm,body_weight_g,greater_wing_sphenoid_length_mm,greater_wing_sphenoid_width_mm,lesser_wing_sphenoid_length_mm,lesser_wing_sphenoid_width_mm,sphenoid_length_mm,sphenoid_width_mm,petrous_part_length_mm,petrous_part_width_mm,basal_occipital_length_mm,basal_occipital_width_mm,lateral_occipital_length_mm,lateral_occipital_width_mm,dataset
3,M,9,12,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.5,2.5,1.2,Fazekas and Kosa
3,F,10,40,5,1.5,-,-,-,-,-,-,3,2,3,1.5,Fazekas and Kosa
3.5,M,12,60,5,2.2,NA,NA,NA,NA,NA,NA,3.9,2.9,3.9,1.8,Fazekas and Kosa
3.5,F,12,100,4.5,2.1,-,-,-,-,-,-,4.5,3.1,4.6,2.2,Fazekas and Kosa
3.5,F,13,60,6,2.5,-,-,-,-,-,-,3.5,1.8,3.5,1.5,Fazekas and Kosa
4,M,17,110.8,9,4.5,NA,NA,NA,NA,NA,NA,5,3,5,2.5,Fazekas and Kosa
4,M,16,100,8,5,3,3,NA,NA,NA,NA,6,4,5.5,3,Fazekas and Kosa
4,M,17,100,13,6.5,NA,NA,NA,NA,9,5,5,4,6.3,3,Fazekas and Kosa
4,M,17,180,13.2,5,4,4,3,5,10.6,6,6,5,6.5,3,Fazekas and Kosa
4,M,17,190,12.7,7,6,5,3,5,12,5,6.2,4,6.9,4,Fazekas and Kosa
4,F,17,195,9.5,6.5,-,-,-,-,10,5,5,4,5.5,2.5,Fazekas and Kosa
4,F,17,100,9,5.5,-,-,-,-,-,-,5.3,4,5.3,3,Fazekas and Kosa
4,F,17,110,8.5,4.9,5,4,2.5,4,-,-,4.5,2.2,5.9,2.2,Fazekas and Kosa
4,F,20,140,10.2,6.5,5,4,2,4,11,5.5,6.4,4.2,6.4,3,Fazekas and Kosa
4.5,M,22,185,13.5,8,5,5,3,4.5,10.5,5.5,7,5,7,4.5,Fazekas and Kosa
4.5,M,22,180,13,6,5,4,3,5.5,12,5,6.5,5,8,4.5,Fazekas and Kosa
4.5,M,22,250,13.5,7.3,6,5,3,6,12.5,6,7.3,4.2,7.5,4.5,Fazekas and Kosa
4.5,M,22,210,13.5,6,5.5,4.5,3.5,5.5,NA,NA,7.5,5.5,8.7,4.2,Fazekas and Kosa
4.5,M,22,210,14.3,8,6,5,3,6,12,6,6.3,5.4,8,4,Fazekas and Kosa
4.5,M,22,250,13,7.5,7,5,4,6,12,6,7.1,5.5,8,4,Fazekas and Kosa
4.5,M,23,250,15,7,6,4,3,6,10,6,7,4,8,4,Fazekas and Kosa
4.5,F,21,180,12,6.5,5.4,4.5,-,-,12.1,5.0999999999999996,6,5,7,4,Fazekas and Kosa
4.5,F,21,200,11,6.3,-,-,-,-,-,-,8,5,6.6,3.5,Fazekas and Kosa
4.5,F,22,210,11.5,6.5,6,5,4,6,12.5,5.2,6.7,5,7.5,4,Fazekas and Kosa
4.5,F,22,320,11,6.5,-,-,-,-,-,-,6.4,5,7.3,4,Fazekas and Kosa
4.5,F,22,200,14,8,6,5,5,6,12.5,6,6,5,7,4,Fazekas and Kosa
4.5,F,22,200,13.5,8,6,5,4.5,5.5,12.5,6,7,5,8.2,4,Fazekas and Kosa
4.5,F,23,220,12,6.9,-,-,-,-,NA,-,7.5,5.9,7,3,Fazekas and Kosa
4.5,F,22,230,14,7,6,5,3,4,15.8,5.8,7,6.4,3.7,4.8,Fazekas and Kosa
5,M,25,270,14.5,11,6,4.7,5,9.3000000000000007,11,7,7.3,5.9,9.2,5,Fazekas and Kosa
5,M,25,350,14.6,12,6.5,5.5,6,10,12,8,8,6,9.2,5.5,Fazekas and Kosa
5,M,25,360,15.6,13.5,5.5,5,5.5,9.1999999999999993,12.3,8,7.5,6,9.2,5.7,Fazekas and Kosa
5,M,25,380,14.6,15.1,5.8,5,5.4,10,15.1,9,8,6.2,9.5,4.8,Fazekas and Kosa
5,M,26,320,15.5,14,6.5,6,5.3,10,14,9.9,7.8,6,9.3,4.5,Fazekas and Kosa
5,M,26,400,14.6,16,6.6,5.8,5.3,10,16,9.5,8,6,9.5,4.5,Fazekas and Kosa
5,F,25,310,15,14,6,5,4.5,9,14,7,8,6,9,5.5,Fazekas and Kosa
