lunar_month,sex,body_length_mm,body_weight_g,nasal_bone_length_mm,nasal_bone_width_mm,palatine_bone_length_mm,vomer_length_mm,infrnasal_concha_length_mm,zygomatic_bone_length_mm,zygomatic_bone_width_mm,maxilla_length_mm,maxilla_width_mm,maxilla_height_mm,maxilla_longest_oblique_dimension_mm,mandible_full_length_mm,mandible_width_mm,mandible_length_mm,dataset
3,M,9,12,NA,NA,2,NA,NA,4,4,3,NA,3,5,10,NA,7.5,Fazekas and Kosa
3,F,10,40,NA,NA,2.5,4,NA,4,5,5.5,NA,3.2,7,11.5,NA,8.5,Fazekas and Kosa
3.5,M,12,60,NA,NA,2,5.2,NA,5.1,6,6,6,5.5,9,12.2,3,9.5,Fazekas and Kosa
3.5,F,12,100,NA,NA,2.9,5.1,NA,4.8,5.5,6,6,5.6,9,12.2,3.1,9.3,Fazekas and Kosa
3.5,F,13,60,NA,NA,4,6.5,NA,5,6,7,7,5.8,10,13.5,3.5,10,Fazekas and Kosa
4,M,17,110,NA,NA,6,9.5,3,8,5.5,9,10,9,16,16,5.8,12.8,Fazekas and Kosa
4,M,16,100,NA,NA,6,9,3,9,7,10,9.5,9,13,18,6,13,Fazekas and Kosa
4,M,17,100,NA,NA,6.5,11,NA,10,6.5,8.5,10,9.3,15,20.6,6.1,14.5,Fazekas and Kosa
4,M,17,180,4.6,2.6,6.5,11,5,11,8,10,10.2,9.5,16,19.5,7.2,14.2,Fazekas and Kosa
4,M,17,190,4.5,2.5,6.4,10,5.1,11,8,8.2,10,9.5,13,19.1,7,13.5,Fazekas and Kosa
4,F,17,95,4.4,2.3,5,11,4,8,6,8,9.8,8.5,13,17,6.5,12.5,Fazekas and Kosa
4,F,17,100,4.5,2.5,5.3,9.5,4.1,9.2,8.1,9,9.4,8,13.8,16.5,6.8,12.3,Fazekas and Kosa
4,F,17,110,4,2.2,5,8.2,NA,7,6.2,8.1,9.5,8.5,12,15.6,6.2,12.5,Fazekas and Kosa
4,F,20,140,4.5,2.3,6.1,9.8,4,9,8.3,9.8,10.2,9,14.6,19.2,6.5,12.5,Fazekas and Kosa
4.5,M,22,185,5,2.9,8,11,4.5,10,8,9.8,11.5,10,10,22,6.4,13.8,Fazekas and Kosa
4.5,M,22,180,4.8,2.8,6.3,11,4.5,12,10,12,11.4,11,16,22,6.5,13.9,Fazekas and Kosa
4.5,M,22,250,5.1,3,6.5,11.2,5,13.5,10.5,10.4,11.6,10,16,21,6.1,13.5,Fazekas and Kosa
4.5,M,22,210,5.1,3,6.5,12,5,10.5,8,10,12.5,10.1,16.5,21,7.1,14.5,Fazekas and Kosa
4.5,M,22,210,5,3,6,13.9,5,12.8,8.4,11,12.1,10.5,14.1,21.6,7.1,14.5,Fazekas and Kosa
4.5,M,22,250,5,3.1,6.8,13.9,NA,12,10,11.2,11.8,10,17.4,21.6,7.1,14,Fazekas and Kosa
4.5,M,23,250,5.4,3.3,7,14,4.5,13,11,12,11.7,11,17,22,7,14.2,Fazekas and Kosa
4.5,F,21,180,5,2.8,6,11.5,4.6,10,8.7,9.8,11.5,9.5,13,21,6.8,13.8,Fazekas and Kosa
4.5,F,21,200,4.8,2.7,6,10,NA,11.4,9.6,10.3,11,9,15,20.1,6.9,13.3,Fazekas and Kosa
4.5,F,22,210,4.8,2.8,6.1,11.5,4.6,10.4,9.5,9.2,11.5,9.8,15,20,6.8,14,Fazekas and Kosa
4.5,F,22,220,5,3,6.2,12.8,NA,11.3,9.5,11,11.3,10,16,22,7,15,Fazekas and Kosa
4.5,F,22,200,5.3,3,8,11,4.5,10,9.6,9.8,11.8,9,13,22,6.8,13.8,Fazekas and Kosa
4.5,F,22,200,5.3,3,7,12,NA,12.5,11,10,11.9,9.5,17,21,6.9,14,Fazekas and Kosa
4.5,F,23,220,5.4,3.1,6.8,11,5.1,10,9.7,10,11.5,9.5,16.5,21,7.5,14,Fazekas and Kosa
4.5,F,22,230,5.5,3.2,7,13,4.8,13,10,12,12,11,18,23,7.3,17,Fazekas and Kosa
5,M,25,270,6.2,3,7.2,14,NA,13,9,12.5,12.4,11.2,18,24,8,16.8,Fazekas and Kosa
5,M,25,350,6.1,3,8,14,5.7,14,10,12.4,12.8,12,20,25,8,17,Fazekas and Kosa
5,M,25,360,6.2,3.8,7.9,14.5,5.7,12.9,10.5,12.5,13,12.5,18.7,25.7,8.5,18,Fazekas and Kosa
5,M,25,380,6,3,7.2,14.4,5.5,14,10,12.2,13,12,18.2,25.9,8.1,17.5,Fazekas and Kosa
5,M,26,350,5.8,2.8,7.8,13.9,5.7,12.5,10,12.7,12.8,12,18.2,26,8,17,Fazekas and Kosa
5,M,26,400,5.9,2.7,8,13.9,5.6,14,11.2,13,12.7,12.5,19.5,25,7.9,17.2,Fazekas and Kosa
5,F,25,310,5.5,2.6,8,13,5,14,11.2,13,12.7,12.6,18,25,7.8,18,Fazekas and Kosa
