lunar_month,sex,body_length_cm,body_weight_g,rib_1_mm,rib_2_mm,rib_3_mm,rib_4_mm,rib_5_mm,rib_6_mm,rib_7_mm,rib_8_mm,rib_9_mm,rib_10_mm,rib_11_mm,rib_12_mm,dataset
3,M,9,12,3.2,6.2,8,9,10.5,10,9.5,9,6,4,3,NA,Fazekas and Kosa
3,F,10,40,3.2,6.2,8.7,10,12.5,12,10,9,6eo,4.4,3,NA,Fazekas and Kosa
3.5,M,12,60,4,8.5,9.6,10.2,12,13.1,12.6,11.5,10.199999999999999,9.1,7,3,Fazekas and Kosa
3.5,F,12,100,4.2,8.1,10.4,11.6,12.6,13.5,13,12.5,10.9,8.5,7,3,Fazekas and Kosa
3.5,F,13,60,4.5,10.5,13,14,15,15.5,14,12.5,9,7,6,3.5,Fazekas and Kosa
4,M,17,110,6,11.5,14.5,19.5,21,23,22.5,20,15,13,9,5.4,Fazekas and Kosa
4,M,16,100,6,12,15,17,19,21,19,14,13,12,8.5,5,Fazekas and Kosa
4,M,17,100,8.1999999999999993,15.4,20.6,24.6,25,26,24.7,21.3,15,12,9,5.1,Fazekas and Kosa
4,M,17,180,7.5,13.5,18.2,23.2,23.5,24,24.5,22,20,17,12,6.5,Fazekas and Kosa
4,M,17,190,8.6999999999999993,15.2,18.3,21.4,22.2,24.3,24,23.1,20,18,15,7,Fazekas and Kosa
4,F,17,95,6.5,12.5,15,17,20,20.5,21,19,16.5,14,10,6.1,Fazekas and Kosa
4,F,17,100,6.4,13.2,16.3,17.5,20,21,21,18,16.5,13,9.5,6,Fazekas and Kosa
4,F,17,110,7,12,15,17,18.5,20,18,17,15.9,12.1,9,5,Fazekas and Kosa
4,F,20,140,7.8,13,18.2,21.5,23.5,24.5,24,21.3,20,16.5,13,6.9,Fazekas and Kosa
4.5,M,22,185,8,15,18,23,24,26,26,25,21,18,14,7.5,Fazekas and Kosa
4.5,M,22,180,9.5,17,20,23,24,26,27,26,22,18,14.2,7.8,Fazekas and Kosa
4.5,M,22,250,9.3000000000000007,15.6,18.5,22.3,23.8,25.9,24.5,24,21.3,18.4,13,7.2,Fazekas and Kosa
4.5,M,22,210,10,16,20,24,26,27,28,26,23,20,14.2,7,Fazekas and Kosa
4.5,M,22,210,10,18,23,25.5,28.5,29.4,29.4,28.5,20,19,14,7.8,Fazekas and Kosa
4.5,M,22,250,9.1999999999999993,15.5,21.1,24.5,28,29,28.5,26,22,20,12,6,Fazekas and Kosa
4.5,M,23,250,10#,19,25,28,30,31,30,27,24,21,12,6,Fazekas and Kosa
