lunar_month,sex,body_length_mm,body_width_mm,atlas_length_mm,axis_length_mm,metacarpus_i_length_mm,metatarsus_i_width_mm,malleus_length_mm,incus_length_mm,incus_width_mm,stapes_length_mm,stapes_width_mm,dataset
4,M,17,110,3.8,4.7,1.7,2.3,NA,NA,NA,NA,NA,Fazekas and Kosa
4,M,16,100,4,4.8,1.7,2.3,NA,NA,NA,NA,NA,Fazekas and Kosa
4,M,17,100,3.8,4.8,1.8,2.4,NA,NA,NA,NA,NA,Fazekas and Kosa
4,M,17,180,4.8,5.3,1.9,2.9,NA,NA,NA,NA,NA,Fazekas and Kosa
4,M,17,190,5,5.1,1.9,2.3,NA,NA,NA,NA,NA,Fazekas and Kosa
4,F,17,95,4.2,5.2,1.7,2.3,NA,NA,NA,NA,NA,Fazekas and Kosa
4,F,17,100,4.3,5.1,1.7,2.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4,F,17,110,4.2,5.3,1.8,2.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4,F,20,140,4,4.5,1.8,2.4,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,22,185,4,5.4,2.3,3.1,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,22,180,5.1,5.5,2.3,3.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,22,250,5.1,5.5,2.2,3,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,22,210,5.3,6.1,2.4,3.1,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,22,210,5.9,6.1,2.4,3.5,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,22,250,5.2,6,2.5,3.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,M,23,250,5.4,6.2,2.4,3.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,21,180,5,5.6,2.3,3.1,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,21,200,5,5.1,2,3,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,22,210,4,5.1,2.1,3,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,22,220,5.2,6.2,2.1,3,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,22,200,5.3,5.9,2.2,3.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,22,200,5.5,6,2.3,3.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,23,220,5.5,6,2.7,3.2,NA,NA,NA,NA,NA,Fazekas and Kosa
4.5,F,22,230,5.8,7,2.9,3.5,NA,NA,NA,NA,NA,Fazekas and Kosa
5,M,25,270,5.5,6.8,2.8,3.2,4.1,5.5,3,NA,NA,Fazekas and Kosa
5,M,25,350,5.8,7.2,3,4,4.2,5.3,2.9,NA,NA,Fazekas and Kosa
5,M,25,360,6.2,8,3.5,4.2,4.5,5.5,3,NA,NA,Fazekas and Kosa
5,M,25,380,6.1,7.3,2.9,3.9,4.6,6,3.5,NA,NA,Fazekas and Kosa
5,M,26,350,6,7.1,3,3.8,4.2,5.3,3.1,NA,NA,Fazekas and Kosa
5,M,26,400,5.9,7.2,3,3.8,4.3,5.5,3.1,NA,NA,Fazekas and Kosa
